staters,total_deaths,total_pop,male_deaths,female_deaths,pop_male,pop_female,male_white_deaths,female_white_deaths,female_black_deaths,male_black_deaths,pop_male_white,pop_male_black,pop_female_white,pop_female_black,male_white_20s_deaths,male_white_30s_deaths,male_white_40s_deaths,male_white_50s_deaths,male_white_60s_deaths,male_white_70s_deaths,male_white_80s_deaths,male_white_90s_deaths,female_white_20s_deaths,female_white_30s_deaths,female_white_40s_deaths,female_white_50s_deaths,female_white_60s_deaths,female_white_70s_deaths,female_black_30s_deaths,female_black_50s_deaths,male_black_20s_deaths,male_black_30s_deaths,male_black_40s_deaths,male_black_50s_deaths,male_black_60s_deaths,male_black_70s_deaths,male_black_80s_deaths,male_black_90s_deaths,female_white_80s_deaths,female_white_90s_deaths,female_black_20s_deaths,female_black_40s_deaths,female_black_60s_deaths,female_black_70s_deaths,female_black_80s_deaths,female_black_90s_deaths,pop_male_white_20s,pop_male_white_30s,pop_male_white_40s,pop_male_white_50s,pop_male_white_60s,pop_male_white_70s,pop_male_white_80s,pop_male_black_20s,pop_male_black_30s,pop_male_black_40s,pop_male_black_50s,pop_male_black_60s,pop_male_black_70s,pop_male_black_80s,pop_female_white_20s,pop_female_white_30s,pop_female_white_40s,pop_female_white_50s,pop_female_white_60s,pop_female_white_70s,pop_female_white_80s,pop_female_black_20s,pop_female_black_30s,pop_female_black_40s,pop_female_black_50s,pop_female_black_60s,pop_female_black_70s,pop_female_black_80s,male_white_below_40_deaths,male_white_over_40_deaths,female_white_below_40_deaths,female_white_over_40_deaths,female_black_below_40_deaths,female_black_over_40_deaths,male_black_below_40_deaths,male_black_over_40_deaths,pop_male_white_below_40,pop_male_white_over_40,pop_male_black_below_40,pop_male_black_over_40,pop_female_white_below_40,pop_female_white_over_40,pop_female_black_below_40,pop_female_black_over_40,year,employment,real_gdp,personal_income,st,sen_dem_majority,hs_dem_majority,sen_rep_majority,hs_rep_majority
GA,5648,2712335.0,3089.0,2559.0,1281344.0,1430991.0,2265.0,1865.0,694.0,824.0,1008809.0,269592.0,1091028.0,337230.0,38.0,54.0,198.0,462.0,710.0,561.0,216.0,26.0,32.0,58.0,200.0,364.0,474.0,443.0,27.0,202.0,6.0,23.0,82.0,220.0,276.0,162.0,48.0,7.0,258.0,36.0,10.0,102.0,223.0,86.0,34.0,10.0,284534.0,200971.0,196192.0,161449.0,102244.0,47881.0,15538.0,75962.0,51121.0,46994.0,44518.0,31503.0,14247.0,5247.0,276858.0,203273.0,204742.0,172331.0,127809.0,74779.0,31236.0,85914.0,62738.0,60014.0,54652.0,42953.0,21633.0,9326.0,92.0,2173.0,90.0,1775.0,37.0,657.0,29.0,795.0,681697.0,327112.0,174077.0,95515.0,684873.0,406155.0,208666.0,128564.0,1969,2119105.0,18082.0,3284.0,GA,1.0,1.0,0.0,0.0
HI,226,451358.0,125.0,101.0,236075.0,215283.0,125.0,97.0,4.0,0.0,86563.0,2965.0,69155.0,1160.0,1.0,6.0,20.0,31.0,36.0,25.0,5.0,1.0,0.0,4.0,8.0,24.0,25.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,34642.0,18534.0,15619.0,9697.0,5275.0,1883.0,913.0,1830.0,667.0,272.0,130.0,46.0,15.0,5.0,22736.0,15778.0,13633.0,8432.0,4792.0,2746.0,1038.0,542.0,389.0,133.0,53.0,29.0,7.0,7.0,7.0,118.0,4.0,93.0,0.0,4.0,0.0,0.0,68795.0,17768.0,2769.0,196.0,52147.0,17008.0,1064.0,96.0,1969,415912.0,4262.0,4908.0,HI,1.0,1.0,0.0,0.0
IA,5021,1724715.0,2709.0,2312.0,812917.0,911798.0,2678.0,2299.0,13.0,31.0,803402.0,7757.0,901209.0,8602.0,21.0,32.0,143.0,380.0,735.0,866.0,443.0,58.0,9.0,58.0,176.0,352.0,511.0,657.0,1.0,2.0,0.0,0.0,6.0,2.0,13.0,6.0,4.0,0.0,470.0,66.0,0.0,1.0,2.0,4.0,2.0,1.0,165849.0,138651.0,153453.0,140625.0,107592.0,69761.0,27471.0,2153.0,1535.0,1461.0,1121.0,814.0,500.0,173.0,183150.0,144914.0,159190.0,148976.0,124297.0,94823.0,45859.0,2309.0,1799.0,1575.0,1219.0,872.0,600.0,228.0,53.0,2625.0,67.0,2232.0,1.0,12.0,0.0,31.0,457953.0,345449.0,5149.0,2608.0,487254.0,413955.0,5683.0,2919.0,1969,1289307.0,12332.0,3712.0,IA,0.0,0.0,1.0,1.0
ID,914,410752.0,489.0,425.0,201558.0,209194.0,486.0,425.0,0.0,3.0,198348.0,622.0,206261.0,396.0,7.0,7.0,25.0,90.0,138.0,140.0,75.0,4.0,3.0,5.0,37.0,70.0,103.0,116.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,83.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,43668.0,35509.0,37410.0,36424.0,25612.0,14054.0,5671.0,265.0,141.0,67.0,70.0,44.0,19.0,16.0,45622.0,36578.0,38679.0,36158.0,25376.0,16340.0,7508.0,96.0,98.0,86.0,60.0,41.0,13.0,2.0,14.0,472.0,8.0,417.0,0.0,0.0,0.0,3.0,116587.0,81761.0,473.0,149.0,120879.0,85382.0,280.0,116.0,1969,315337.0,2750.0,3352.0,ID,0.0,0.0,1.0,1.0
IL,18656,6861780.0,9880.0,8776.0,3231280.0,3630500.0,8828.0,7855.0,921.0,1052.0,2876948.0,335484.0,3203634.0,406675.0,97.0,159.0,536.0,1663.0,2657.0,2517.0,1091.0,108.0,60.0,206.0,751.0,1486.0,1916.0,2108.0,56.0,214.0,8.0,37.0,122.0,260.0,336.0,227.0,60.0,2.0,1170.0,158.0,13.0,161.0,241.0,164.0,66.0,6.0,632437.0,525403.0,582429.0,519685.0,355334.0,193620.0,68040.0,88447.0,77456.0,70043.0,48677.0,32481.0,14386.0,3994.0,692416.0,530014.0,605127.0,561786.0,417580.0,280615.0,116096.0,113635.0,94340.0,79970.0,55009.0,39206.0,17965.0,6550.0,256.0,8572.0,266.0,7589.0,69.0,852.0,45.0,1007.0,1740269.0,1136679.0,235946.0,99538.0,1827557.0,1376077.0,287945.0,118730.0,1969,5179110.0,60840.0,4400.0,IL,0.0,0.0,1.0,1.0
IN,8040,3124020.0,4289.0,3751.0,1478713.0,1645307.0,3967.0,3541.0,210.0,322.0,1389460.0,86008.0,1542364.0,99067.0,49.0,66.0,266.0,688.0,1194.0,1129.0,511.0,64.0,36.0,96.0,358.0,606.0,821.0,939.0,8.0,46.0,4.0,9.0,30.0,73.0,101.0,73.0,29.0,3.0,580.0,105.0,0.0,35.0,58.0,43.0,17.0,3.0,329023.0,261403.0,280243.0,235043.0,161109.0,89621.0,33018.0,21871.0,17432.0,18280.0,13392.0,9058.0,4581.0,1394.0,357111.0,268747.0,293670.0,249654.0,188384.0,127428.0,57370.0,25639.0,20886.0,20379.0,14569.0,10428.0,5230.0,1936.0,115.0,3852.0,132.0,3409.0,8.0,202.0,13.0,309.0,870669.0,518791.0,57583.0,28425.0,919528.0,622836.0,66904.0,32163.0,1969,2326793.0,24212.0,3733.0,IN,0.0,0.0,1.0,1.0
KS,3668,1407388.0,1949.0,1719.0,674729.0,732659.0,1852.0,1640.0,79.0,97.0,642761.0,28008.0,699179.0,29296.0,21.0,22.0,93.0,286.0,518.0,588.0,297.0,27.0,12.0,36.0,148.0,271.0,355.0,464.0,1.0,18.0,0.0,0.0,2.0,21.0,28.0,29.0,17.0,0.0,312.0,42.0,1.0,10.0,23.0,20.0,5.0,1.0,151693.0,110935.0,122574.0,106416.0,81154.0,50202.0,19787.0,8747.0,5007.0,4650.0,3921.0,2973.0,1949.0,761.0,147842.0,113926.0,125206.0,114040.0,96131.0,68508.0,33526.0,7272.0,5579.0,5204.0,4304.0,3639.0,2252.0,1046.0,43.0,1809.0,48.0,1592.0,2.0,77.0,0.0,97.0,385202.0,257559.0,18404.0,9604.0,386974.0,312205.0,18055.0,11241.0,1969,1029008.0,9166.0,3669.0,KS,0.0,0.0,1.0,1.0
KY,5012,1940955.0,2806.0,2206.0,922980.0,1017975.0,2513.0,2020.0,186.0,293.0,863565.0,58091.0,947710.0,68619.0,25.0,51.0,194.0,467.0,747.0,665.0,331.0,33.0,18.0,67.0,217.0,359.0,502.0,521.0,12.0,44.0,3.0,4.0,34.0,66.0,83.0,67.0,33.0,3.0,292.0,44.0,0.0,25.0,56.0,31.0,16.0,2.0,207211.0,155147.0,165381.0,143006.0,108006.0,61719.0,23095.0,13660.0,9367.0,10608.0,9684.0,8325.0,4722.0,1725.0,213081.0,164218.0,174408.0,154275.0,125838.0,80728.0,35162.0,14529.0,11726.0,12736.0,11360.0,9921.0,5915.0,2432.0,76.0,2437.0,85.0,1935.0,12.0,174.0,7.0,286.0,527739.0,335826.0,33635.0,24456.0,551707.0,396003.0,38991.0,29628.0,1969,1331869.0,13206.0,3034.0,KY,1.0,1.0,0.0,0.0
LA,5371,2070020.0,3074.0,2297.0,975351.0,1094669.0,2117.0,1536.0,761.0,957.0,729190.0,243372.0,792448.0,299485.0,21.0,44.0,194.0,411.0,697.0,522.0,205.0,23.0,19.0,56.0,158.0,300.0,370.0,393.0,38.0,171.0,8.0,20.0,75.0,215.0,317.0,221.0,93.0,8.0,221.0,19.0,7.0,95.0,235.0,136.0,73.0,6.0,187822.0,140044.0,147592.0,120866.0,82323.0,38471.0,12072.0,61862.0,43959.0,43623.0,39003.0,32573.0,16379.0,5973.0,187599.0,144888.0,154101.0,128313.0,99350.0,56177.0,22020.0,74158.0,55831.0,54156.0,45908.0,39993.0,20708.0,8731.0,65.0,2052.0,75.0,1461.0,45.0,716.0,28.0,929.0,475458.0,253732.0,149444.0,93928.0,486588.0,305860.0,184145.0,115340.0,1969,1440191.0,16321.0,2958.0,LA,1.0,1.0,0.0,0.0
MA,10583,3566988.0,5434.0,5149.0,1644222.0,1922766.0,5335.0,5038.0,111.0,99.0,1595008.0,40351.0,1863791.0,49999.0,44.0,77.0,299.0,899.0,1595.0,1612.0,729.0,80.0,52.0,105.0,409.0,903.0,1207.0,1409.0,9.0,21.0,3.0,0.0,17.0,22.0,27.0,22.0,8.0,0.0,825.0,128.0,4.0,23.0,26.0,19.0,9.0,0.0,369249.0,276467.0,319015.0,281658.0,195089.0,113602.0,39928.0,12785.0,9099.0,8005.0,5208.0,2856.0,1727.0,671.0,404308.0,285223.0,342700.0,317181.0,253234.0,182222.0,78923.0,16116.0,10916.0,9394.0,6118.0,3963.0,2420.0,1072.0,121.0,5214.0,157.0,4881.0,13.0,98.0,3.0,96.0,964731.0,630277.0,29889.0,10462.0,1032231.0,831560.0,36426.0,13573.0,1969,2678959.0,27476.0,4275.0,MA,1.0,1.0,0.0,0.0
