staters,total_deaths,total_pop,male_deaths,female_deaths,pop_male,pop_female,male_white_deaths,female_white_deaths,female_black_deaths,male_black_deaths,pop_male_white,pop_male_black,pop_female_white,pop_female_black,male_white_20s_deaths,male_white_30s_deaths,male_white_40s_deaths,male_white_50s_deaths,male_white_60s_deaths,male_white_70s_deaths,male_white_80s_deaths,male_white_90s_deaths,female_white_20s_deaths,female_white_30s_deaths,female_white_40s_deaths,female_white_50s_deaths,female_white_60s_deaths,female_white_70s_deaths,female_black_30s_deaths,female_black_50s_deaths,male_black_20s_deaths,male_black_30s_deaths,male_black_40s_deaths,male_black_50s_deaths,male_black_60s_deaths,male_black_70s_deaths,male_black_80s_deaths,male_black_90s_deaths,female_white_80s_deaths,female_white_90s_deaths,female_black_20s_deaths,female_black_40s_deaths,female_black_60s_deaths,female_black_70s_deaths,female_black_80s_deaths,female_black_90s_deaths,pop_male_white_20s,pop_male_white_30s,pop_male_white_40s,pop_male_white_50s,pop_male_white_60s,pop_male_white_70s,pop_male_white_80s,pop_male_black_20s,pop_male_black_30s,pop_male_black_40s,pop_male_black_50s,pop_male_black_60s,pop_male_black_70s,pop_male_black_80s,pop_female_white_20s,pop_female_white_30s,pop_female_white_40s,pop_female_white_50s,pop_female_white_60s,pop_female_white_70s,pop_female_white_80s,pop_female_black_20s,pop_female_black_30s,pop_female_black_40s,pop_female_black_50s,pop_female_black_60s,pop_female_black_70s,pop_female_black_80s,male_white_below_40_deaths,male_white_over_40_deaths,female_white_below_40_deaths,female_white_over_40_deaths,female_black_below_40_deaths,female_black_over_40_deaths,male_black_below_40_deaths,male_black_over_40_deaths,pop_male_white_below_40,pop_male_white_over_40,pop_male_black_below_40,pop_male_black_over_40,pop_female_white_below_40,pop_female_white_over_40,pop_female_black_below_40,pop_female_black_over_40,year,employment,real_gdp,personal_income,st,sen_dem_majority,hs_dem_majority,sen_rep_majority,hs_rep_majority
ND,968,412503.0,529.0,439.0,205980.0,206523.0,529.0,439.0,0.0,0.0,200396.0,1160.0,201235.0,435.0,5.0,6.0,25.0,69.0,156.0,163.0,97.0,8.0,3.0,4.0,37.0,63.0,98.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,59475.0,34170.0,29504.0,30313.0,25713.0,14855.0,6366.0,724.0,330.0,85.0,7.0,6.0,4.0,4.0,54245.0,32333.0,29419.0,30100.0,27048.0,18154.0,9936.0,240.0,130.0,39.0,10.0,8.0,5.0,3.0,11.0,518.0,7.0,432.0,0.0,0.0,0.0,0.0,123149.0,77247.0,1139.0,21.0,115997.0,85238.0,409.0,26.0,1976,325944.0,5052.0,6380.0,ND,0.0,0.0,1.0,1.0
NE,2620,1012422.0,1384.0,1236.0,483859.0,528563.0,1343.0,1210.0,26.0,41.0,468769.0,11411.0,511354.0,13012.0,8.0,14.0,62.0,175.0,369.0,402.0,278.0,35.0,11.0,29.0,77.0,171.0,271.0,354.0,1.0,3.0,0.0,1.0,3.0,9.0,12.0,10.0,6.0,0.0,250.0,47.0,1.0,2.0,8.0,5.0,4.0,2.0,129003.0,84388.0,73168.0,72352.0,57533.0,35920.0,16405.0,4065.0,2371.0,1956.0,1338.0,963.0,532.0,186.0,128545.0,83828.0,74420.0,75645.0,67669.0,50816.0,30431.0,4411.0,2734.0,2113.0,1637.0,1147.0,686.0,284.0,22.0,1321.0,40.0,1170.0,2.0,24.0,1.0,40.0,286559.0,182210.0,8392.0,3019.0,286793.0,224561.0,9258.0,3754.0,1976,811421.0,13042.0,6615.0,NE,0.0,0.0,0.0,0.0
NH,1549,553235.0,830.0,719.0,263843.0,289392.0,828.0,716.0,3.0,2.0,261714.0,1176.0,287420.0,780.0,7.0,8.0,35.0,130.0,261.0,250.0,123.0,14.0,7.0,18.0,51.0,117.0,181.0,197.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,124.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,72320.0,53095.0,42483.0,40796.0,30560.0,16468.0,5992.0,558.0,276.0,166.0,100.0,52.0,17.0,7.0,72923.0,53069.0,42817.0,43786.0,36702.0,25078.0,13045.0,329.0,182.0,118.0,73.0,42.0,27.0,9.0,15.0,813.0,25.0,691.0,0.0,3.0,0.0,2.0,167898.0,93816.0,1000.0,176.0,168809.0,118611.0,629.0,151.0,1976,393755.0,5511.0,6427.0,NH,0.0,0.0,0.0,1.0
NJ,14480,4908144.0,7601.0,6879.0,2294565.0,2613579.0,6862.0,6323.0,556.0,739.0,2049224.0,222022.0,2309238.0,278018.0,54.0,102.0,324.0,1135.0,2137.0,2032.0,963.0,115.0,42.0,133.0,449.0,1156.0,1630.0,1697.0,23.0,118.0,6.0,20.0,75.0,171.0,224.0,180.0,58.0,5.0,1064.0,152.0,11.0,80.0,137.0,115.0,61.0,11.0,488340.0,378064.0,359393.0,380152.0,265463.0,130107.0,47705.0,65588.0,49078.0,42744.0,32797.0,19827.0,9228.0,2760.0,499817.0,400276.0,378296.0,416198.0,317950.0,198263.0,98438.0,80294.0,64011.0,50507.0,38468.0,26128.0,13467.0,5143.0,156.0,6706.0,175.0,6148.0,34.0,522.0,26.0,713.0,1225797.0,823427.0,157410.0,64612.0,1278389.0,1030849.0,194812.0,83206.0,1976,3248286.0,60496.0,7811.0,NJ,1.0,1.0,0.0,0.0
NM,1373,728247.0,752.0,621.0,352827.0,375420.0,732.0,605.0,16.0,20.0,324073.0,6446.0,343607.0,5996.0,15.0,11.0,51.0,114.0,205.0,213.0,108.0,15.0,1.0,24.0,52.0,136.0,138.0,150.0,0.0,6.0,0.0,0.0,1.0,2.0,10.0,5.0,2.0,0.0,88.0,16.0,0.0,0.0,4.0,3.0,3.0,0.0,95979.0,64752.0,54824.0,49071.0,35776.0,17464.0,6207.0,2598.0,1285.0,971.0,738.0,501.0,266.0,87.0,95752.0,66460.0,56490.0,52626.0,39944.0,22462.0,9873.0,2097.0,1168.0,982.0,757.0,600.0,281.0,111.0,26.0,706.0,25.0,580.0,0.0,16.0,0.0,20.0,215555.0,108518.0,4854.0,1592.0,218702.0,124905.0,4247.0,1749.0,1976,512389.0,9254.0,5778.0,NM,1.0,1.0,0.0,0.0
NV,904,432257.0,505.0,399.0,218877.0,213380.0,468.0,384.0,15.0,37.0,202084.0,10974.0,195851.0,10939.0,4.0,8.0,31.0,91.0,161.0,122.0,45.0,6.0,3.0,9.0,46.0,102.0,117.0,69.0,0.0,3.0,0.0,0.0,9.0,5.0,12.0,10.0,0.0,1.0,33.0,5.0,0.0,2.0,5.0,3.0,1.0,1.0,55316.0,42809.0,35755.0,33471.0,22890.0,9261.0,2582.0,4100.0,2614.0,1925.0,1212.0,764.0,306.0,53.0,52469.0,40491.0,32918.0,32389.0,22733.0,10798.0,4053.0,4057.0,2645.0,1894.0,1165.0,786.0,296.0,96.0,12.0,456.0,12.0,372.0,0.0,15.0,0.0,37.0,133880.0,68204.0,8639.0,2335.0,125878.0,69973.0,8596.0,2343.0,1976,348995.0,6263.0,7876.0,NV,1.0,1.0,0.0,0.0
NY,36379,12115145.0,18797.0,17582.0,5593405.0,6521740.0,16901.0,15913.0,1669.0,1896.0,4887225.0,613701.0,5620717.0,805996.0,139.0,209.0,744.0,2511.0,5074.0,5136.0,2769.0,319.0,105.0,284.0,1000.0,2723.0,4131.0,4393.0,75.0,385.0,23.0,40.0,195.0,465.0,592.0,422.0,133.0,26.0,2827.0,450.0,13.0,208.0,444.0,352.0,160.0,32.0,1225546.0,887476.0,815770.0,848877.0,635954.0,341529.0,132073.0,177883.0,140484.0,117271.0,91445.0,55073.0,24662.0,6883.0,1276039.0,940729.0,873358.0,954438.0,786615.0,526875.0,262663.0,221259.0,183414.0,147061.0,120059.0,80426.0,39924.0,13853.0,348.0,16553.0,389.0,15524.0,88.0,1581.0,63.0,1833.0,2928792.0,1958433.0,435638.0,178063.0,3090126.0,2530591.0,551734.0,254262.0,1976,8125400.0,163284.0,7503.0,NY,0.0,1.0,1.0,0.0
OH,19254,6977407.0,10445.0,8809.0,3285676.0,3691731.0,9283.0,8087.0,722.0,1162.0,2997835.0,273438.0,3344649.0,330402.0,125.0,149.0,519.0,1661.0,2853.0,2527.0,1290.0,159.0,69.0,185.0,561.0,1525.0,2025.0,2101.0,25.0,176.0,8.0,21.0,89.0,289.0,361.0,270.0,112.0,12.0,1389.0,232.0,10.0,78.0,187.0,153.0,74.0,19.0,812875.0,564000.0,506421.0,512891.0,350596.0,179196.0,71856.0,79193.0,50374.0,48876.0,45226.0,30084.0,14876.0,4809.0,833925.0,584823.0,529280.0,559008.0,420115.0,273280.0,144218.0,94772.0,62508.0,58793.0,51387.0,35360.0,19807.0,7775.0,274.0,9009.0,254.0,7833.0,35.0,687.0,29.0,1133.0,1883296.0,1114539.0,178443.0,94995.0,1948028.0,1396621.0,216073.0,114329.0,1976,4889405.0,87419.0,6741.0,OH,1.0,1.0,0.0,0.0
OK,4979,1869231.0,2732.0,2247.0,890259.0,978972.0,2534.0,2090.0,157.0,198.0,800549.0,49579.0,875779.0,57748.0,26.0,34.0,126.0,401.0,791.0,754.0,355.0,47.0,14.0,44.0,141.0,338.0,520.0,590.0,0.0,36.0,2.0,1.0,9.0,32.0,57.0,59.0,35.0,3.0,370.0,73.0,0.0,15.0,38.0,46.0,19.0,3.0,219111.0,145799.0,128587.0,125624.0,100564.0,58805.0,22059.0,17448.0,8254.0,6717.0,6228.0,5615.0,3772.0,1545.0,209178.0,148488.0,133661.0,135159.0,121719.0,84760.0,42814.0,16879.0,9844.0,8346.0,7835.0,7388.0,5128.0,2328.0,60.0,2474.0,58.0,2032.0,0.0,157.0,3.0,195.0,493497.0,307052.0,32419.0,17160.0,491327.0,384452.0,35069.0,22679.0,1976,1305470.0,20822.0,6116.0,OK,1.0,1.0,0.0,0.0
OR,3966,1586488.0,2204.0,1762.0,767261.0,819227.0,2175.0,1748.0,14.0,29.0,742962.0,9567.0,794670.0,8994.0,19.0,25.0,111.0,331.0,678.0,642.0,321.0,48.0,12.0,32.0,117.0,300.0,507.0,419.0,0.0,3.0,1.0,0.0,4.0,9.0,9.0,4.0,2.0,0.0,301.0,60.0,0.0,3.0,3.0,3.0,1.0,1.0,203558.0,147255.0,113627.0,114989.0,93531.0,50195.0,19807.0,3528.0,1962.0,1372.0,1256.0,906.0,451.0,92.0,205221.0,145430.0,115602.0,122790.0,103767.0,66290.0,35570.0,3023.0,1739.0,1354.0,1321.0,930.0,458.0,169.0,44.0,2131.0,44.0,1704.0,0.0,14.0,1.0,28.0,464440.0,278522.0,6862.0,2705.0,466253.0,328417.0,6116.0,2878.0,1976,1156014.0,19758.0,7033.0,OR,1.0,1.0,0.0,0.0
PA,24119,8005019.0,12907.0,11212.0,3731303.0,4273716.0,11648.0,10299.0,913.0,1259.0,3440484.0,273561.0,3908594.0,345793.0,92.0,119.0,547.0,1950.0,3641.0,3404.0,1717.0,178.0,63.0,199.0,666.0,1858.0,2746.0,2757.0,23.0,193.0,9.0,20.0,77.0,286.0,376.0,355.0,127.0,9.0,1709.0,301.0,7.0,114.0,272.0,204.0,87.0,13.0,866669.0,588190.0,569833.0,628591.0,465351.0,233381.0,88469.0,75600.0,49796.0,47905.0,46321.0,31701.0,17017.0,5221.0,882290.0,613673.0,609653.0,703420.0,567837.0,356209.0,175512.0,91407.0,63702.0,60445.0,56652.0,41303.0,23440.0,8844.0,211.0,11437.0,262.0,10037.0,30.0,883.0,29.0,1230.0,2024692.0,1415792.0,173301.0,100260.0,2105616.0,1802978.0,215554.0,130239.0,1976,5353339.0,90743.0,6821.0,PA,1.0,1.0,0.0,0.0
RI,2117,641064.0,1143.0,974.0,297284.0,343780.0,1121.0,959.0,15.0,22.0,287460.0,7528.0,332763.0,8502.0,5.0,13.0,44.0,175.0,325.0,342.0,196.0,21.0,8.0,16.0,61.0,153.0,236.0,261.0,0.0,1.0,0.0,1.0,2.0,4.0,8.0,4.0,3.0,0.0,195.0,29.0,0.0,3.0,5.0,3.0,3.0,0.0,76478.0,49502.0,45358.0,51067.0,37689.0,19666.0,7700.0,2746.0,1570.0,1249.0,984.0,568.0,296.0,115.0,78640.0,51781.0,48737.0,57377.0,47883.0,31976.0,16369.0,2878.0,1670.0,1432.0,1131.0,759.0,443.0,189.0,18.0,1103.0,24.0,935.0,0.0,15.0,1.0,21.0,171338.0,116122.0,5565.0,1963.0,179158.0,153605.0,5980.0,2522.0,1976,442018.0,6528.0,6550.0,RI,1.0,1.0,0.0,0.0
SC,3969,1848142.0,2181.0,1788.0,878165.0,969977.0,1553.0,1281.0,507.0,628.0,653717.0,220770.0,698259.0,267410.0,21.0,34.0,118.0,316.0,494.0,386.0,171.0,13.0,19.0,37.0,77.0,273.0,321.0,342.0,19.0,117.0,4.0,17.0,48.0,147.0,214.0,151.0,41.0,6.0,174.0,38.0,13.0,52.0,155.0,104.0,40.0,7.0,199947.0,134439.0,109438.0,102415.0,68532.0,30108.0,8838.0,76838.0,40634.0,32185.0,30855.0,25235.0,11250.0,3773.0,184975.0,132131.0,113081.0,111467.0,86245.0,49467.0,20893.0,84237.0,46249.0,40207.0,38569.0,33302.0,17556.0,7290.0,55.0,1498.0,56.0,1225.0,32.0,475.0,21.0,607.0,443824.0,209893.0,149657.0,71113.0,430187.0,268072.0,170693.0,96717.0,1976,1376441.0,18177.0,5450.0,SC,1.0,1.0,0.0,0.0
SD,1217,437949.0,683.0,534.0,213561.0,224388.0,683.0,534.0,0.0,0.0,203602.0,861.0,214012.0,331.0,5.0,9.0,21.0,94.0,161.0,237.0,140.0,16.0,1.0,13.0,32.0,77.0,139.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,55396.0,33412.0,31151.0,33133.0,26381.0,16548.0,7581.0,551.0,179.0,64.0,31.0,18.0,11.0,7.0,52597.0,33091.0,31700.0,33143.0,29128.0,21594.0,12759.0,161.0,78.0,35.0,24.0,14.0,15.0,4.0,14.0,669.0,14.0,520.0,0.0,0.0,0.0,0.0,119959.0,83643.0,794.0,67.0,117388.0,96624.0,274.0,57.0,1976,335977.0,4645.0,5757.0,SD,1.0,0.0,0.0,1.0
TN,7201,2838677.0,4057.0,3144.0,1331973.0,1506704.0,3325.0,2604.0,540.0,732.0,1155313.0,172251.0,1285613.0,215874.0,29.0,73.0,198.0,608.0,1061.0,932.0,391.0,33.0,30.0,76.0,200.0,447.0,683.0,695.0,18.0,108.0,5.0,10.0,54.0,154.0,204.0,217.0,80.0,8.0,407.0,66.0,6.0,42.0,165.0,131.0,56.0,14.0,311389.0,229550.0,194626.0,184232.0,138840.0,71953.0,24723.0,54979.0,29026.0,24831.0,24180.0,22153.0,12541.0,4541.0,315032.0,234763.0,206059.0,204822.0,168668.0,107196.0,49073.0,63699.0,36633.0,32618.0,30577.0,27965.0,17108.0,7274.0,102.0,3223.0,106.0,2498.0,24.0,516.0,15.0,717.0,735565.0,419748.0,108836.0,63415.0,755854.0,529759.0,132950.0,82924.0,1976,2052396.0,30549.0,5654.0,TN,1.0,1.0,0.0,0.0
TX,18889,8223672.0,10667.0,8222.0,3955690.0,4267982.0,9227.0,7255.0,967.0,1440.0,3504438.0,416862.0,3750548.0,479455.0,99.0,148.0,517.0,1637.0,2822.0,2724.0,1158.0,122.0,76.0,218.0,584.0,1362.0,1860.0,1833.0,34.0,207.0,15.0,18.0,118.0,304.0,450.0,379.0,138.0,18.0,1110.0,212.0,13.0,109.0,237.0,249.0,100.0,18.0,1059575.0,692256.0,576967.0,525433.0,381434.0,200723.0,68050.0,138824.0,78317.0,64725.0,55023.0,44697.0,25895.0,9381.0,1021288.0,696068.0,592536.0,563279.0,450797.0,290161.0,136419.0,145279.0,89983.0,75967.0,64918.0,55027.0,33869.0,14412.0,247.0,8980.0,294.0,6961.0,47.0,920.0,33.0,1407.0,2328798.0,1175640.0,281866.0,134996.0,2309892.0,1440656.0,311229.0,168226.0,1976,6206757.0,113757.0,6486.0,TX,1.0,1.0,0.0,0.0
UT,1203,738679.0,654.0,549.0,359852.0,378827.0,650.0,547.0,2.0,4.0,349797.0,2584.0,369126.0,1877.0,14.0,9.0,33.0,104.0,179.0,180.0,125.0,6.0,7.0,21.0,39.0,96.0,141.0,132.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,100.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,119455.0,68749.0,53997.0,48523.0,34309.0,18132.0,6632.0,1233.0,460.0,298.0,304.0,184.0,78.0,27.0,120462.0,69066.0,54578.0,50770.0,38660.0,24208.0,11382.0,709.0,355.0,264.0,267.0,143.0,94.0,45.0,23.0,627.0,28.0,519.0,0.0,2.0,0.0,4.0,242201.0,107596.0,1991.0,593.0,244106.0,125020.0,1328.0,549.0,1976,580312.0,9300.0,5810.0,UT,1.0,1.0,0.0,0.0
VA,7510,3379216.0,4180.0,3330.0,1625113.0,1754103.0,3185.0,2674.0,656.0,995.0,1342359.0,267002.0,1433070.0,303082.0,34.0,67.0,213.0,616.0,1015.0,839.0,359.0,42.0,29.0,95.0,203.0,525.0,673.0,654.0,19.0,158.0,10.0,11.0,69.0,236.0,316.0,264.0,83.0,6.0,418.0,77.0,11.0,63.0,170.0,156.0,63.0,16.0,399594.0,280845.0,228909.0,209896.0,137759.0,63852.0,21504.0,83983.0,48995.0,42418.0,41528.0,30780.0,14223.0,5075.0,379835.0,280958.0,231125.0,226008.0,165984.0,100729.0,48431.0,89287.0,54866.0,48728.0,46062.0,35995.0,19522.0,8622.0,101.0,3084.0,124.0,2550.0,30.0,626.0,21.0,974.0,909348.0,433011.0,175396.0,91606.0,891918.0,541152.0,192881.0,110201.0,1976,2501192.0,39574.0,6967.0,VA,1.0,1.0,0.0,0.0
VT,814,312563.0,429.0,385.0,148845.0,163718.0,429.0,384.0,1.0,0.0,148030.0,332.0,162859.0,245.0,2.0,9.0,24.0,67.0,122.0,137.0,59.0,9.0,3.0,5.0,25.0,68.0,89.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,42194.0,29773.0,23305.0,22033.0,17255.0,9763.0,3707.0,165.0,78.0,40.0,21.0,14.0,10.0,4.0,43145.0,29322.0,23691.0,23954.0,20253.0,14367.0,8127.0,118.0,46.0,30.0,22.0,17.0,9.0,3.0,11.0,418.0,8.0,376.0,0.0,1.0,0.0,0.0,95272.0,52758.0,283.0,49.0,96158.0,66701.0,194.0,51.0,1976,228487.0,3222.0,5853.0,VT,0.0,0.0,1.0,1.0
WA,6037,2447430.0,3226.0,2811.0,1196448.0,1250982.0,3161.0,2761.0,50.0,65.0,1130201.0,29463.0,1187064.0,23738.0,34.0,45.0,134.0,485.0,954.0,932.0,508.0,69.0,24.0,69.0,180.0,502.0,743.0,683.0,2.0,9.0,1.0,1.0,2.0,19.0,21.0,14.0,6.0,1.0,457.0,103.0,0.0,6.0,15.0,12.0,6.0,0.0,317738.0,226410.0,179903.0,178467.0,133272.0,67292.0,27119.0,12677.0,5777.0,4233.0,3541.0,2151.0,861.0,223.0,306708.0,221926.0,177518.0,186964.0,148254.0,93450.0,52244.0,8548.0,4820.0,3713.0,3431.0,1927.0,912.0,387.0,79.0,3082.0,93.0,2668.0,2.0,48.0,2.0,63.0,724051.0,406150.0,22687.0,6776.0,706152.0,480912.0,17081.0,6657.0,1976,1738939.0,32735.0,7376.0,WA,1.0,1.0,0.0,0.0
WI,7817,2951959.0,4119.0,3698.0,1416802.0,1535157.0,4029.0,3629.0,69.0,90.0,1367567.0,38101.0,1478879.0,44300.0,36.0,50.0,186.0,558.0,1158.0,1277.0,689.0,75.0,26.0,45.0,213.0,603.0,924.0,978.0,5.0,18.0,2.0,1.0,7.0,26.0,26.0,22.0,6.0,0.0,700.0,140.0,2.0,11.0,14.0,11.0,7.0,1.0,375748.0,248556.0,217714.0,216815.0,170091.0,98464.0,40179.0,14325.0,8370.0,6680.0,4682.0,2597.0,1093.0,354.0,375314.0,249962.0,220117.0,231234.0,195550.0,134402.0,72300.0,16561.0,10266.0,7577.0,4974.0,2955.0,1426.0,541.0,86.0,3943.0,71.0,3558.0,7.0,62.0,3.0,87.0,842018.0,525549.0,29375.0,8726.0,845393.0,633486.0,34404.0,9896.0,1976,2211407.0,37033.0,6647.0,WI,1.0,1.0,0.0,0.0
WV,3499,1235050.0,1889.0,1610.0,582373.0,652677.0,1798.0,1543.0,67.0,91.0,562894.0,17864.0,627963.0,22772.0,17.0,24.0,104.0,308.0,567.0,493.0,257.0,28.0,18.0,28.0,115.0,301.0,431.0,382.0,0.0,10.0,0.0,0.0,3.0,17.0,21.0,28.0,17.0,5.0,228.0,40.0,0.0,6.0,16.0,24.0,11.0,0.0,147437.0,100837.0,90912.0,95402.0,73968.0,39360.0,14978.0,5100.0,2196.0,2113.0,2834.0,2868.0,2008.0,745.0,151467.0,102735.0,98936.0,106103.0,87978.0,55293.0,25451.0,5616.0,2743.0,3037.0,3807.0,3900.0,2558.0,1111.0,41.0,1757.0,46.0,1497.0,0.0,67.0,0.0,91.0,339186.0,223708.0,9409.0,8455.0,353138.0,274825.0,11396.0,11376.0,1976,739036.0,13249.0,5427.0,WV,1.0,1.0,0.0,0.0
WY,482,252279.0,258.0,224.0,127826.0,124453.0,255.0,223.0,1.0,3.0,124737.0,1075.0,121603.0,748.0,2.0,2.0,10.0,43.0,78.0,71.0,42.0,7.0,3.0,6.0,10.0,44.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,42.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,39931.0,24880.0,19925.0,18087.0,12675.0,6535.0,2704.0,559.0,189.0,120.0,100.0,57.0,36.0,14.0,35839.0,22964.0,19035.0,17746.0,13537.0,8231.0,4251.0,282.0,144.0,114.0,92.0,66.0,33.0,17.0,4.0,251.0,9.0,214.0,0.0,1.0,0.0,3.0,84736.0,40001.0,868.0,207.0,77838.0,43765.0,540.0,208.0,1976,214096.0,4722.0,7250.0,WY,0.0,0.0,0.0,1.0
ZZ,239,,127.0,112.0,,,123.0,109.0,3.0,4.0,,,,,6.0,4.0,12.0,20.0,36.0,29.0,15.0,1.0,5.0,5.0,14.0,18.0,30.0,26.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,113.0,10.0,99.0,1.0,2.0,2.0,2.0,,,,,,,,,1976,,,,,,,,
AK,177,245094.0,91.0,86.0,132305.0,112789.0,88.0,84.0,2.0,3.0,109223.0,4880.0,91485.0,3120.0,2.0,5.0,6.0,25.0,25.0,15.0,8.0,2.0,2.0,7.0,10.0,27.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,40550.0,30612.0,18527.0,12666.0,5063.0,1415.0,390.0,2815.0,1055.0,541.0,296.0,132.0,34.0,7.0,34418.0,25809.0,14783.0,10399.0,4176.0,1421.0,479.0,1566.0,718.0,433.0,248.0,111.0,32.0,12.0,7.0,81.0,9.0,75.0,0.0,2.0,0.0,3.0,89689.0,19534.0,4411.0,469.0,75010.0,16475.0,2717.0,403.0,1977,236928.0,7544.0,12649.0,AK,1.0,1.0,0.0,0.0
AL,6232,2439500.0,3564.0,2668.0,1137069.0,1302431.0,2632.0,1966.0,702.0,932.0,893946.0,239252.0,990415.0,306968.0,27.0,46.0,138.0,447.0,909.0,733.0,296.0,36.0,22.0,49.0,146.0,344.0,525.0,502.0,22.0,132.0,8.0,18.0,61.0,175.0,279.0,292.0,86.0,13.0,328.0,50.0,8.0,70.0,165.0,197.0,82.0,26.0,237600.0,181712.0,151338.0,142629.0,107701.0,55452.0,17514.0,74911.0,40015.0,33035.0,33558.0,32118.0,19053.0,6562.0,237823.0,184912.0,157546.0,156984.0,131836.0,84102.0,37212.0,88085.0,48920.0,44733.0,44470.0,42208.0,26856.0,11696.0,73.0,2559.0,71.0,1895.0,30.0,672.0,26.0,906.0,570650.0,323296.0,147961.0,91291.0,580281.0,410134.0,181738.0,125230.0,1977,1651033.0,26725.0,5890.0,AL,1.0,1.0,0.0,0.0
AR,4000,1447163.0,2347.0,1653.0,681685.0,765478.0,1987.0,1386.0,267.0,360.0,589000.0,89034.0,649389.0,111656.0,19.0,24.0,74.0,275.0,667.0,599.0,294.0,35.0,15.0,31.0,105.0,202.0,366.0,367.0,7.0,58.0,3.0,8.0,18.0,58.0,97.0,114.0,57.0,5.0,257.0,43.0,2.0,6.0,69.0,92.0,27.0,6.0,145450.0,112956.0,91726.0,90758.0,83438.0,47659.0,17013.0,26521.0,13621.0,10884.0,11570.0,12982.0,9365.0,4091.0,146995.0,115726.0,95568.0,101218.0,96642.0,64018.0,29222.0,30979.0,16517.0,14676.0,15707.0,16444.0,11783.0,5550.0,43.0,1944.0,46.0,1340.0,9.0,258.0,11.0,349.0,350132.0,238868.0,51026.0,38008.0,358289.0,291100.0,62172.0,49484.0,1977,981263.0,15182.0,5739.0,AR,1.0,1.0,0.0,0.0
AZ,3510,1580338.0,1975.0,1535.0,765713.0,814625.0,1919.0,1501.0,34.0,56.0,709136.0,19983.0,754879.0,18705.0,19.0,24.0,81.0,323.0,596.0,583.0,264.0,29.0,18.0,38.0,97.0,273.0,459.0,375.0,1.0,8.0,0.0,0.0,5.0,13.0,11.0,19.0,6.0,2.0,207.0,34.0,0.0,2.0,7.0,13.0,3.0,0.0,201742.0,139883.0,107065.0,103004.0,91363.0,50853.0,15226.0,7566.0,4018.0,2962.0,2265.0,1850.0,1000.0,322.0,195757.0,139971.0,109419.0,116517.0,106478.0,62664.0,24073.0,6162.0,3770.0,2917.0,2434.0,1899.0,1099.0,424.0,43.0,1876.0,56.0,1445.0,1.0,33.0,0.0,56.0,448690.0,260446.0,14546.0,5437.0,445147.0,309732.0,12849.0,5856.0,1977,1047500.0,19609.0,6789.0,AZ,1.0,0.0,0.0,1.0
CA,36123,15115241.0,18780.0,17343.0,7320349.0,7794892.0,17420.0,16256.0,1087.0,1360.0,6438226.0,489247.0,6844243.0,536003.0,220.0,320.0,860.0,2837.0,5163.0,5064.0,2615.0,341.0,127.0,361.0,1091.0,3051.0,4254.0,4129.0,47.0,263.0,15.0,28.0,113.0,327.0,441.0,300.0,120.0,16.0,2738.0,505.0,14.0,123.0,294.0,209.0,116.0,21.0,1863923.0,1342736.0,1021625.0,996735.0,705043.0,368760.0,139404.0,167633.0,107222.0,82752.0,65176.0,42094.0,19201.0,5169.0,1764807.0,1321189.0,1024522.0,1070731.0,831921.0,543217.0,287856.0,170096.0,116787.0,87465.0,73768.0,51311.0,26419.0,10157.0,540.0,16880.0,488.0,15768.0,61.0,1026.0,43.0,1317.0,4228284.0,2209942.0,357607.0,131640.0,4110518.0,2733725.0,374348.0,161655.0,1977,11119255.0,229592.0,8662.0,CA,1.0,1.0,0.0,0.0
