"SA25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"45000","South Carolina",2188552,2235610,2275940,2250210,2241242,2257776,2303941,2353983,2416957,2485643,2476487,2373179,2357197,2418058,2453343,2501078,2556114
"46000","South Dakota",490481,500466,509241,510182,508296,508390,517360,526812,536793,549326,558660,554669,554958,563185,570872,576571,584408
"47000","Tennessee",3342682,3400750,3463763,3427722,3413723,3439761,3520071,3585994,3656497,3719043,3695890,3546099,3530183,3604315,3648329,3702074,3773908
"48000","Texas",11542048,11764041,12139152,12285494,12303640,12386927,12638243,13040929,13521904,14044615,14410295,14256867,14291050,14719181,15126524,15563461,15981815
"49000","Utah",1309139,1336157,1376759,1385001,1389120,1400308,1451782,1515266,1590355,1672757,1684006,1629358,1611189,1653896,1694700,1741097,1785244
"50000","Vermont",381478,389909,400602,403547,404925,405463,412588,417168,420815,425178,424691,415016,413201,417035,421603,424748,430051
"51000","Virginia",4168392,4260312,4396936,4415272,4421720,4469094,4593439,4709736,4788863,4881191,4885285,4778056,4749625,4811102,4861553,4901697,4938586
"53000","Washington",3382438,3444324,3525394,3508981,3482604,3510293,3582258,3683123,3795160,3924407,3956578,3819564,3763419,3806330,3899398,3978189,4075751
"54000","West Virginia",868044,868813,875472,873856,872564,869853,880551,890862,904647,916954,920525,901961,900090,910243,919171,913956,914071
"55000","Wisconsin",3285025,3346241,3406669,3392483,3384679,3404331,3458343,3499277,3537369,3575989,3565200,3440119,3411636,3459709,3482311,3521059,3567138
"56000","Wyoming",309707,313528,322283,328624,333038,335584,343080,353738,368896,386979,397453,385819,382160,387124,393041,396381,402763
"91000","New England",8359163,8512132,8733988,8761274,8706325,8691487,8785612,8879580,8986104,9156912,9168098,8941911,8875022,8989781,9092190,9243759,9378271
"92000","Mideast",25149757,25668847,26347218,26411481,26361531,26453665,26840093,27246519,27653218,28199941,28334063,27748203,27678828,28197662,28473287,28874039,29270623
"93000","Great Lakes",25942541,26311160,26800160,26508945,26241368,26192833,26406138,26647952,26849629,27116659,26862882,25788466,25591951,26065130,26335969,26640329,27036269
"94000","Plains",12234925,12402501,12595379,12584763,12513223,12519558,12667777,12860670,13051043,13271856,13293471,12998617,12886001,13071783,13224906,13401170,13583422
"95000","Southeast",38027751,38833571,39745844,39701875,39745003,40141721,41182195,42256435,43299582,44255238,43924357,42459570,42194059,43014894,43557623,44278899,45118820
"96000","Southwest",17036731,17359702,17902950,18111900,18137066,18296212,18725504,19370726,20100628,20797964,21144323,20740521,20692413,21214777,21730534,22287114,22808262
"97000","Rocky Mountain",5624157,5752166,5952981,6005067,6000196,6021992,6167414,6367496,6587624,6845587,6895745,6688365,6617818,6743184,6859404,7030725,7206715
"98000","Far West",26106175,26691221,27292280,27433895,27454388,27709032,28261967,28928022,29595772,30241543,30016961,28868047,28498608,28981489,29807787,30634065,31396418
"Legend / Footnotes:"
"1/ The estimates of employment for 1998-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011 forward are based on the 2012 NAICS."
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 2007-2013."
