"SA25 Total Full-Time and Part-Time Employment by SIC Industry 1/"
"Total employment (number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"12000","Florida",2856879,2966065,3082056,3338247,3666224,3765563,3675506,3729843,3928975,4239000,4454247,4687521,4865374,4953566,5166943,5501658,5771943,6015226,6093623,6390284,6596287,6740289,6717581,6762815,7002451,7234337,7494170,7739729,8005136,8329429,8600322,8918234,8988214
"13000","Georgia",2119105,2120778,2167432,2253001,2355871,2374130,2312736,2399502,2502692,2620828,2700081,2740686,2776006,2793013,2876795,3067584,3206760,3334829,3432866,3544762,3608204,3663988,3622035,3698046,3866163,4019921,4188040,4333367,4448701,4611642,4737484,4873213,4890069
"15000","Hawaii",415912,433555,436830,452960,473087,485226,499203,504799,509265,527519,556339,574555,567762,566510,576830,582402,597946,611862,642686,668691,696362,724262,745447,746137,741780,736771,734039,733396,733761,738304,737193,752662,756549
"16000","Idaho",315337,324150,332158,346866,365091,381309,393178,419224,434655,459904,468736,464366,461502,451634,462543,472247,473734,473569,487369,508352,524961,548397,565996,585584,611603,646775,667062,688744,708389,733715,748435,776837,783166
"17000","Illinois",5179110,5143772,5104451,5155439,5350502,5441434,5341907,5457695,5586832,5747599,5803277,5675371,5663887,5562767,5520248,5717923,5780043,5891733,6031396,6187499,6293665,6390424,6369012,6351074,6440520,6610811,6772862,6874745,6980621,7139203,7219239,7359625,7309961
"18000","Indiana",2326793,2290880,2289961,2366852,2483157,2492502,2404608,2488953,2578127,2669582,2708261,2626041,2602712,2522205,2542022,2642451,2695475,2755432,2849065,2935238,3010334,3069771,3071856,3120633,3197238,3287330,3379373,3418009,3476263,3543556,3595327,3645837,3585056
"19000","Iowa",1289307,1294601,1297368,1316204,1374443,1406738,1406934,1454869,1487748,1512816,1553843,1536822,1507346,1470793,1474129,1499477,1495071,1493527,1514302,1556965,1600251,1634995,1654110,1669175,1691565,1724805,1784926,1815405,1841110,1877088,1893264,1913422,1899024
"20000","Kansas",1029008,1017405,1022401,1047978,1090098,1122386,1132564,1168805,1207714,1251626,1296018,1309091,1321825,1306229,1322987,1364715,1367826,1368245,1420601,1431826,1453867,1473893,1489215,1501541,1524596,1551442,1600063,1632161,1676805,1723281,1740268,1759453,1767423
"21000","Kentucky",1331869,1336200,1359677,1391733,1460918,1495502,1464686,1522537,1578785,1644520,1665068,1642192,1634370,1615586,1624234,1676458,1698090,1733268,1765189,1815845,1865111,1906123,1903273,1949274,1992841,2034504,2109525,2141075,2188877,2222685,2264088,2306886,2283540
"22000","Louisiana",1440191,1429432,1445103,1488438,1550215,1598024,1640816,1702082,1755715,1848757,1896880,1963831,2029903,2022903,1984423,2023412,2009206,1928226,1903658,1935327,1952815,2005292,2030275,2038051,2085583,2125502,2193968,2238770,2289998,2336873,2351477,2387379,2395936
"23000","Maine",443449,445896,443290,452555,470180,477672,475256,497868,512788,531154,544802,552745,551487,553311,565243,587454,606390,630438,652556,686290,701652,701002,677564,680841,691753,702752,704574,714237,727238,748856,762933,783716,787567
"24000","Maryland",1679355,1702298,1728598,1781187,1846490,1867792,1845601,1865565,1918925,2003857,2059469,2070441,2095422,2083585,2151035,2242630,2342002,2427570,2553099,2647475,2703904,2737249,2662392,2635653,2658555,2705548,2765393,2806074,2870391,2932649,3002831,3087534,3112501
"25000","Massachusetts",2678959,2679010,2643820,2696668,2786670,2811480,2727603,2755729,2833405,2957517,3073593,3133686,3141874,3143386,3215449,3402387,3509658,3604577,3632415,3739313,3710110,3614703,3450717,3481815,3547680,3615952,3648939,3712827,3802454,3898230,3968110,4078376,4087239
"26000","Michigan",3639946,3558466,3570770,3686984,3857800,3853663,3694690,3843552,4015637,4186324,4228172,4029904,3978474,3823220,3866320,4040112,4233369,4348837,4482585,4581562,4709207,4790620,4721340,4751280,4811999,4984712,5141766,5247019,5329933,5377478,5475785,5608190,5508027
"27000","Minnesota",1690875,1698995,1706080,1780093,1877806,1921458,1920410,1976597,2033789,2121891,2217688,2248180,2232802,2192337,2219348,2324144,2385204,2417493,2509308,2580304,2633745,2691896,2717271,2762016,2816645,2903666,2994740,3056007,3109004,3186896,3252434,3326787,3338685
"28000","Mississippi",908677,916796,938968,978740,1019427,1031293,1000814,1038827,1070753,1100550,1114375,1111313,1106596,1079218,1087581,1117040,1123930,1130753,1141343,1169037,1188891,1202603,1210948,1233701,1286919,1334700,1365437,1389237,1415330,1445561,1469551,1476693,1457187
"29000","Missouri",2215957,2203183,2200169,2241522,2324587,2341199,2290969,2364844,2423645,2512045,2575855,2548593,2539840,2516292,2561760,2667168,2737724,2800791,2836153,2885020,2938314,2972034,2941610,2957212,3040852,3112827,3196160,3255268,3327521,3384420,3424606,3473578,3454270
"30000","Montana",297954,301051,307216,319267,332623,343949,344226,359122,371699,390065,396111,392881,394759,390753,398497,407961,406393,402177,405938,415921,423726,433400,443734,455725,470150,494287,503532,519262,525616,536822,542490,552934,558884
"31000","Nebraska",703747,715204,728277,747678,774584,793125,789876,811421,831023,854384,875515,876861,871447,860736,867419,885647,897918,897767,924608,947439,964656,988048,992320,999204,1020980,1061466,1071231,1096704,1111371,1137233,1154892,1172398,1171964
"32000","Nevada",243701,256145,267191,280037,304048,317204,326497,348995,383713,432318,467774,488628,500187,493889,498533,523336,545389,570484,615830,661700,709928,755587,768885,776291,818727,898349,952615,1023515,1088804,1130651,1190463,1253202,1285122
"33000","New Hampshire",334070,333695,336311,349678,374038,380712,370436,393755,418419,445596,467512,481610,491780,498144,517638,553158,585708,617430,634718,659854,659566,642570,616340,628633,641906,665701,679441,695920,716703,742325,759913,782290,787925
"34000","New Jersey",3061493,3124572,3119402,3184143,3288124,3300540,3190693,3248286,3325139,3464561,3551507,3600866,3630962,3638914,3739129,3914206,4025613,4121635,4219864,4316583,4351212,4309704,4172215,4170013,4197161,4231628,4296373,4351845,4412438,4496042,4562065,4737168,4757820
"35000","New Mexico",394799,398899,416073,440381,460680,478009,490785,512389,538969,568233,592146,597041,610846,619089,631355,655141,674150,679909,698586,733303,748614,761396,784294,796829,825122,856994,898187,908725,922830,936316,941104,961582,974968
"36000","New York",8494052,8465868,8345341,8348261,8465363,8392017,8172219,8125400,8198948,8384019,8580543,8602022,8665868,8672716,8729621,9002728,9227207,9424256,9471509,9684192,9752014,9727348,9482658,9410147,9431043,9464935,9511472,9595379,9731824,9891082,10145385,10392855,10398292
"37000","North Carolina",2457997,2468524,2490307,2602097,2719564,2743165,2647462,2753858,2850596,2945933,3045787,3052458,3072289,3041512,3128522,3292313,3392276,3493724,3610298,3750988,3838492,3902373,3865529,3963816,4086843,4201049,4354641,4458978,4602983,4707311,4804234,4892986,4856166
