var,coef,stderr,pval,N,lhs,specification,r2
"lag_mand_n_rec_05",8.851664,6.965391,.2097978,1451,"female_white",5,.9846674
"lag_mand_n_rec_LT",7.498943,7.975729,.3517167,1451,"female_white",5,.9846674
"lag_mand_n_rec_00",1.038605,5.551918,.8523617,1481,"female_white",4,.9840157
"lag_mand_n_rec_01",-2.692652,6.893592,.6977506,1481,"female_white",4,.9840157
"lag_mand_n_rec_02",2.520069,6.550173,.7020667,1481,"female_white",4,.9840157
"lag_mand_n_rec_03",1.494015,7.410222,.8410354,1481,"female_white",4,.9840157
"lag_mand_n_rec_04",8.920645,6.884056,.2009803,1481,"female_white",4,.9840157
"lag_mand_n_rec_05",9.132504,7.190429,.2099309,1481,"female_white",4,.9840157
"lag_mand_n_rec_LT",8.316131,8.113209,.3102915,1481,"female_white",4,.9840157
"lag_mand_n_rec_00",-1.645874,8.833841,.8529672,1451,"female_white",3,.959476
"lag_mand_n_rec_01",-7.735888,9.952159,.4407141,1451,"female_white",3,.959476
"lag_mand_n_rec_02",-7.569719,10.1914,.4611757,1451,"female_white",3,.959476
"lag_mand_n_rec_03",-6.931995,11.60813,.5531453,1451,"female_white",3,.959476
"lag_mand_n_rec_04",-1.003422,12.07047,.9340866,1451,"female_white",3,.959476
"lag_mand_n_rec_05",-.8476665,12.75695,.947292,1451,"female_white",3,.959476
"lag_mand_n_rec_LT",-7.638493,16.20358,.6394417,1451,"female_white",3,.959476
"lag_mand_n_rec_00",-11.23883,12.35272,.3672794,1481,"female_white",2,.9286726
"lag_mand_n_rec_01",-15.99419,12.55571,.2086035,1481,"female_white",2,.9286726
"lag_mand_n_rec_02",-14.45362,11.7613,.2248569,1481,"female_white",2,.9286726
"lag_mand_n_rec_03",-17.59729,15.04091,.247563,1481,"female_white",2,.9286726
"lag_mand_n_rec_04",-11.23407,14.78429,.4509031,1481,"female_white",2,.9286726
"lag_mand_n_rec_05",-12.92559,16.03105,.4238972,1481,"female_white",2,.9286726
"lag_mand_n_rec_LT",-17.53412,18.00341,.3347781,1481,"female_white",2,.9286726
"lag_mand_n_rec_00",-17.31759,16.43125,.2969757,1481,"female_white",1,.8927254
"lag_mand_n_rec_01",-24.38612,17.32923,.165547,1481,"female_white",1,.8927254
"lag_mand_n_rec_02",-22.4506,16.95485,.1914779,1481,"female_white",1,.8927254
"lag_mand_n_rec_03",-26.28555,20.41655,.2038608,1481,"female_white",1,.8927254
"lag_mand_n_rec_04",-20.19672,20.79197,.3360392,1481,"female_white",1,.8927254
"lag_mand_n_rec_05",-21.59178,22.45718,.3409455,1481,"female_white",1,.8927254
"lag_mand_n_rec_LT",-32.10828,28.86949,.2713768,1481,"female_white",1,.8927254
"male_black_mortality:lag_mand_n_rec_00",-.0330052,.0229497,.1503891,1451,"male_black",7,
"male_black_mortality:lag_mand_n_rec_01",-.0184007,.0239878,.4430301,1451,"male_black",7,
"male_black_mortality:lag_mand_n_rec_02",-.0273607,.0243157,.2604924,1451,"male_black",7,
"male_black_mortality:lag_mand_n_rec_03",-.0234933,.0191529,.2199654,1451,"male_black",7,
"male_black_mortality:lag_mand_n_rec_04",-.0387366,.0292794,.1858365,1451,"male_black",7,
"male_black_mortality:lag_mand_n_rec_05",.008361,.0294193,.7762569,1451,"male_black",7,
"male_black_mortality:lag_mand_n_rec_LT",-.0176177,.0310097,.5699437,1451,"male_black",7,
